,clean_text,sentiment
0,i start saying looking great story disappointed pretty standard hero journey core shame story could inspired house flying daggers wuxia rating high because story falls everything else visually spectacular real treat eyes visuals incredibly distinct mcu in regards aesthetics black panther walked could run fight scenes amazing there one weak fight meant weak long great see one early ones went solid minutes unexpected far first actual fight scene favourite mcu i worried none others would top delightful watch i glad parallel later either way writers went hard fight scenes paid summary story lacking i glad way allowed everything else shine and shine i hope future directors take lessons aesthetics choreography,V.Positive
1,after years almost every movie combat one fresh perfect start phase yes start black widow something old related previous phases loved every single moment got chills laughed the soundtrack astonishing the best mcu may loved colors the fighting sequence leave attached screen seem like dancing all combined something else completely new ca wait see simu liu see movie,V.Positive
2,a screen mini review viewed that fine explain plane said shaun marking sudden unexpected twist events so many upsides crouching tiger hidden marvel gosh i even ang lee circa martial arts spectacular first film came mind whilst watching certain beautifully atmospheric segment and the legend of the ten rings short know upon seeing featuring malaysian mega star michelle yeoh course one characters tiger hidden dragon fyi means intended spoiler movie teasers trailers feature said scene albeit briefly and trailers also someone slightest bit true passion things within realm sheer cinematic fantasy absolutely know shang chi distinct potter aspect even enough then get got dollop narnia thrown good measure to honest felt bit disorienting seeing types elements cinematic universe picture i suddenly realized war prominently feature well walking talking demolition derby err raccoon i began feel home pretty darn there one downside alas the mcu way too much muddled obfuscatory messaging ten rings over the years in received completely introduced bespoke militant organization short first time explicit and unequivocal reference film initial setting sometime within usa long in afghanistan state religion islam hence extension correspondingly glaring although tad implicit suggestion ttr immediately apparent ethnic backgrounds mostly urdu arabic speaking members portrayed group visually flag right undeniably frightening type video featuring thoroughly bruised bloodied tony stark centerpiece reminiscent tragic bloodcurdling news stories sadly accustomed reading hearing watching years another archetypal classic type group when fact conveyed us particular picture beginning way trailers simply not case the said militant group course turn way not arab or middle eastern fact chinese certainly confusing majority us read comics go figure final analysis if get basically aforementioned legitimate inconsistencies pertaining marvel cinematic representation ten rings organization part least should believe rave reviews delight of a movie garnered a shoutout director daniel cretton able achieve feat get ever what started humble yet impassioned little comic book effort magical phenomenally empowered alien makluan rings by stan lee don heck tales of suspense has become supremely enthralling fresh new face marvel new era started four the film newcomer simu liu whose portrayal outwardly yet immensely likeable works wonderfully mention super kung fu skills course best companion awkwafina showing absolute heart courage fierce loyalty throughout tony leung zhang fala chen michelle yeoh course big fun ben kingsley perform respective roles panache so told going a completely charmed fiery marks out from me rock on marvel,V.Positive
3,perfect fantasy film watch full family ca miss big screen,V.Positive
4,keeping short this movie great story writing direction acting villain comedy fight huge old school movie fan i bit sceptical show fight scenes glad kept authentic fight director worked jackie chan lot it story superb the villain character development amazing the direction rushed time bore single mcu movie i watch today watching last night,V.Positive
5,brought truth great overall genre least one best year round generally lacklustre definitely good movie watch supposed generally setup film something bigger many marvel films mcu start somewhere as origin film well perhaps best origin starting film superhero movies full action decent story somewhat predictable origin stories though generally fresh fun great characters definitely one verdict does meant provides entertainment,V.Positive
6,have much marvel guy even biggest event films shang chi solid story moves quick lots great characters almost nonstop action scenes finale hid trailers i definitely way i thought i props team one,V.Positive
7,i expectations one given fact origin story character i know zero facts but let say competes avengers movies comes cinematography visuals action far best marvel movie recent years puts many titles portfolio visuals blast true eye candy experience there lot new elements marvel seemed experience worked perfectly the choreography spot fighting sequences among best i seen combined good score turns enjoyable seeing big screen i think mandatory watch biggest screen get,V.Positive
8,legend ten rings entertaining albeit formulaic popcorn marvel film drama fu adventure raised tony leung villainous performance wenwu it delivers solid introduction asian american superhero paying tribute chinese martial arts pleasing see warm reception received across world it phenomenon see audiences intensely cheering subtitled film large portions mandarin back university days average western filmgoer typically would see foreign subtitled movie account wanting read movie look much world changed first half plays much stronger the san francisco bus sequence reminiscent hollywood version jackie chan films set western locales like rumble bronx who am i first fight choreography moves hard fisticuffs towards fantastical wuxia plunges cgi the former engaging caught wrong place wrong time real liu solid job impressive moves like athlete sells hits moves swiftly performing parkour liu grew throughout movie much aid awkwafina best friend katy they share charming banter doubling film mvp tony leung approaches role intensity injecting depth gravitas villain elevates film another amazed depth leung achieved scenes the scene struck flashback tony leung wenwu comes home door gives look concern family in one glance leung portrays completely different person contrast villain present his performance cut right i felt i watching someone unfortunate wenwu undercut script introducing second villain late second half diminishes leung character wenwu established immortal fought power ages yet lack wisdom latter actions felt third act takes strange turn mythic realms loses gravitas promised first act the story shifts westerner stereotypical view china we get straw hats rice paddy village looks cambodian constant mention dragons with finale spectacle movie exhausts good earned first entertaining marvel fare remembered best cultural zeitgeist icon asian american representation however film i feel need revisit anytime soon when i san francisco section tony leung asian asian american i happy asian americans feel represented i personally feel representation film fine looking film i admit one great step asian american representation fight however apparent still heck long way go,V.Positive
9,first decent buttload tropey nonsense small furry disney creatures overall good mcu inclusion simu liu great most story pretty decent although little place parts pretty nice job including overall mcu well adding nice chinese mythical callbacks whatever would call acting excellent especially tony leung i would say relatable antagonist since marvel daredevil superb pretty bad parts awkwafina well quite annoying parts given way much credit screen time considering shang chi buddy actual skill reason especially treated wong later movie why marvel needs included quite much i idea especially considering great shang chi sister fight choreography it very good an absolute tribute late brad allan joy watch especially close work chinese weaponry displayed super well worth cinema visit it good film deserve star reviews at all,V.Positive
10,i watched movie twitter claiming best movie ever i went high expectations watching i found movie mediocre best cgi great apart everything ok best i connect character to honest wait film come streaming services worth go cinema,V.Positive
11,it decent movie happy comedic timing certain scenes overdone plays little serious the mandarin movie far best acted character choreography martial arts point the movie probably mins long think oh finishing there notable difference second act story going rapid pacing definitely movies biggest flaw acting wise cool nothing amazing something seen familiar marvel exact model movies family thor black widow wan na good time family decent watchable movie this one like,V.Positive
12,i watched movie i avid marvel fan this film introduces new character standard disney approach mix comedy seriousness lots work numbers film surprises acting good special effects solids story continuity linking marvel universe nice would actually pitch quite higher review ten way mark film bad,V.Positive
13,if like previews ads thought kung fu movie son rebelling crime lord father father sends men force return make take next leader criminal empire not awful plot original either that absolutely not movie i love hate marvel trailer seldom give anything away i glad that movie i spoil performances good story good complicated keeps interest funny parts touching parts action parts overall good movie enjoyable watch it one best marvel movies solid one worth seeing theater,V.Positive
14,that freakin blast the story complex interesting fills gaps mcu simultaneously great origin story character whole cast amazing i mean much chemistry simu liu tony leung phenomenal respective roles the mandarin tho well created movie amazing bridge east west culture there much explore much like wakanda the history shang culture fight choreography absolute kick gutts good way i mean something completely new mcu deliver everything looks goddamn good i ca help thinking scenes also colors effects camera work etc everything humor sure also emotional impact this bland action packed movie made heart fans fans kudos director destin cretton killer soundtrack main song movie run it fits good surprises hidden promos trailers man wait see credit scenes two good one sick for sure deserves one viewing cinema much story building details action fun the people underestimated movie surprised great,V.Positive
15,honestly amazing the cinematic experience great story plot movie good i huge marvel fan makes happy see branching different types hero types backgrounds to sum review i really enjoyed highly recommend stay credits end,V.Positive
16,the really good better i expected great story best hand hand fight scene i ca wait watch times i absolutely love,V.Positive
17,the film contains lot confusing plot points really make whole story look underwhelming shang chi father blind stupid see deceived otherworldly even sees released kind flying demons and shang chi tried politely explain times oh father wasted within seconds ten rings help otherworldly the cgi monster what exactly it turns main villain film hard care loved jokes movie first hour fine rest disappointing,V.Negative
18,this movie portrays villain far best marvel antagonists it shows personal conflicts purpose well cruelty the hero film overshadowed ending really makes mark audience also martial arts action scenes treat watch core film family,Positive
19,this movie much better black widow funny exciting full adventure must see summer,V.Positive
20,couple things the actors made plastic i know cgi cartoon actors one dimensional may well have never seen live actors display uncanny valley feels alot like disney film less like marvel super hero movie it super formulaic awkwafina usually funny every little chuckle super forced overall good fight choreography get kung fu movie kind makes wonder much money spent template movie kind lame,V.Positive
21,this well done far special effects plot boring i could take left middle film,Positive
22,inovates marvel cinematic universe amazing action choreography keep invested times,V.Positive
23,solid performances best action sequences mcu visually stunning likeable characters this film achievement marvel film also film,V.Positive
24,martin scorsese called generic mcu movies theme park movies this movie perfect example there great mcu movies seems like marvel even trying separate theme park stigma make movies like,V.Positive
25,overall nothing new creative i idea people pretend like new coming movies it it meh best wait streaming,V.Positive
26,well fight scenes exciting story incredibly slow not best marvel movie weak movies like thor the dark world some best visuals movie i seen helps improve overall experience keep eye fun character pop well,Positive
27,such good movie the asian representation point if i could give movie past star rating i would ca wait else marvel store,V.Positive
28,legend ten rings scltr feels like proper start mcu phase clear link forming strange multiverse madness we first introduced seems like chinese fairytale follow wenwu leung millennium power enchanted we meet li chen turns mum liu xialing zhang mystical realm ta lo fits secrets revealed third act intro film well show katy awkwafina living somewhat unfulfilled lives san francisco action starts heat goes looking sister all actors likeable especially leung great job making sure wenwu descend caricature bad guy truly feels like misguided father some great cameos also round everything always great see michelle bit slow parts martial arts scenes action near end great without overwhelming certainly tiger hidden dragon also nice nod last dragon nice ending character arc i look forward seeing find place mcu,V.Positive
29,just another amazing movie brought mcu adding new character marvel universe overall fantastic movie point view storyline action sequences really one best among marvel movies till it clearly visible movie something big planned mcu future would amazing watch at last watch movie love,V.Positive
30,another forgettable marvel film story old time asian version i think biggest issue long else action good,V.Positive
31,legend ten rings wonderful movie numerous ways visually striking great mastery staging beginning much visual poetry aspect really legends mystical elements grab ever story unveiling eyes the humor pleasant katy played awkwafina brought welcome energy heart scenes adds pretty pleasant flavor whole really loved way characters written xu wenwu tony leung complex layered figure along movie and xialing sister played zhang well li mother highly enjoyable see express lot presence skills found entire movie coherent every detail makes sense counter balanced way another yes strong notion balance darkness light lot messages infused action dialogs it extremely entertaining movie i really wanted emphasize richness depth characters connected organic way i loved whole myths legends aspec movie spirit philosophy true delight eyes countless elements entwined smoothly integrant mythology i think i probably put top marvel movies i found staging really majestic dialog scenes action scenes humor flashbacks new universe mythology presented flows delightful way beginning studios always clever hiring great variety talents nailed destin daniel cretton director movie super creative manages construct pretty complex scenes always masterfully telling story building deeply cohesive piece fantasy nonetheless feels visceral real this movie another marvel movie often forget marvel movie precisely powerful deeply captivating mythology emotional weight feel characters truly sets something different it felt like i watching movie vein certain epic asian arts movies got ta admit jam in addition marvel stuff pleasant energy movie theater fun lots people excited scenes grab because yes clearly there good number scenes incredible movie the photography color treatment make movie striking and like i said certain scenes mesmerize beauty mastery even grand epicness at times feels like epic fresco scene two parents meet first time beyond gorgeous setting colors choreography costume design overall design music sound effects characters atmosphere whole absolute masterpiece art visually way beyond sublime gift eyes wow and final quite simply epic emotionally grabbing course stunning visually flow glorious shots jewel,V.Positive
32,the best amount tension humor great storyline great characters loved it,V.Positive
33,shang chi legend ten rings one best comic book movies i seen great humor intense action throughout film you sympathize villain the music phenomenal possible mcu best go watch,V.Positive
34,excellent movie and less marvel movie marvel movies i mean compliment there much connection anything else not characters included reasons not check guys gon na cool next movie i promise vibe damages basically less poetic less romantic crouching tiger hidden dragon michelle yeoh still friggin awesome even playing pretty colors fantastical elements comedy elements everything cool story revenge abandonment murder family grief well great movie formulaic liu really charismatic fight scenes awesome still sucks though much cgi actress plays sister great i hope see everybody fantastic movie especially ben kingsley i loved marvel movie much gives optimism still happen mcu,V.Positive
35,with real concept character story i really know expect legend ten rings i pleasantly surprised this marvel action film average features impressive visuals engaging action scenes entertaining characters there missing pieces story may saving later overall i enjoyed introduction new mcu superhero,V.Positive
36,the story good visuals world you definitely enjoy,V.Positive
37,amazing martial arts epic fights lacks plot ending quite bland still one best hand hand combat i seen good usage comedy usual mcu,V.Positive
38,it story self discovery full great character arcs glorious fight scenes the cinematography choreography plot could done better simu liu really shines main character brings much charm role easy grow fond cgi fight scenes stunning the perfect start phase i know start black widow something old marvel made masterpiece since black panther,V.Positive
39,just poster alone says movie great great writing great character development story acting villain comedy best i wrote story great maybe say amazing all character development awesome see really entertaining it rushed direction time bore save say one best mcu movie i would watch maybe even three times sorry englis i russian taskmaster yk,V.Positive
40,i high expectations still blew away definitely best marvel movie date story great the villain boring lame motives characters well written music fantastic fight scenes special effects amazing it also easy movie understand enjoy well versed marvel movies introductory movie highly recommend,V.Positive
41,i expecting i visions film along lines snake eyes date bagel four course paced energetic relentless particularly genre i normally go enjoy i loved every second visual masterpiece superb acting terrific musics produced magical way plan seeing understand bits little watch love,V.Positive
42,extremely overrated movie reason it nothing new only thing marvel left right everything else super meh,V.Positive
43,shang chi emotional roller coaster using strength powerful interesting villain movie successfully brings together past years marvel movies largely effective cocktail dramatics destin daniel cretton creates superhero movie every bit epic needs however prepared feel ready villain mandarin shang chi stunning hilarious heartbreaking one best action set pieces year bus scene,V.Positive
44,it one best movies date ca wait next it hilarious emotional family the story epic visuals great it redeemed iron man ten rings wenwu amazing one best memorable marvel villains simu liu shined made his portrayal made instant fan favorite also amazing portrayed roles perfectly especially xialing katy great characters a,V.Positive
45,for guy like grown watching jackie chan kung fu movies film wonderful experience besides perfect fight scenes amazing special effects story telling terrific i completely moved story ending awesome well i much say wonderful feeling movie gave,V.Positive
46,i really liked movie the fight scenes great cgi excellent my confusion characters shocked mystical creatures story shawn katie telling friends unbelievable especially since timeline movie takes place end game did see aliens come crazy abilities i think happens someone believe anything possible,V.Positive
47,does everything mcu well things poorly brings whole lot new elements universe incredibly enjoyable ride theaters at worse leave feeling like pretty good,V.Positive
48,okay i know black widow good oh god marvel magic movie year i laughed felt rush action adventure threw entire movie flat fun watch like every marvel movie much fun much enjoy highly recommend almost anyone so much enjoyment,V.Positive
49,right mcu movie actually passion behind no way home another generic origin story course went see could write review,Positive
50,this movie awesome it felt like entirely different experience amazing cgi tony leung really shone movie it definitely focuses introducing new characters unlike people think solo mcu movies set must see understand people rating one star even released majority countries people hating reason,V.Positive
51,although watched hall print bt movie good ca even blame hall print,Positive
